Role,Skills
Data Scientist,"python machine-learning sql statistics pandas"
Machine Learning Engineer,"python machine-learning tensorflow pytorch"
Backend Developer,"java spring sql api"
Cloud Engineer,"aws cloud docker kubernetes linux"
DevOps Engineer,"docker kubernetes aws ci-cd linux"
Frontend Developer,"html css javascript react"
Full Stack Developer,"html css javascript react nodejs sql"
Data Analyst,"python sql excel powerbi"
Cyber Security Analyst,"networking linux security python"
AI Engineer,"python machine-learning deep-learning tensorflow"